dance,v,kubvina
come,v,kubwira
wash,v,kuchapa
do,v,kuchita
leave,v,kuchoka
sick,v,kudwala
eat,v,kudya
bring,v,kudzetsa
die,v,kufa
arrive,v,kufika
ask,v,kufunsa
think,v,kuganiza
buy,v,kugula
sell,v,kugulitsa
stay,v,kukhala
good,v,kukoma
bad*,v,kuipa
love,v,kukonda
happy,v,kukondwa
remember,v,kukumbuka
angry,v,kukwiya
write,v,kulemba
strong,v,kulimba
play,v,kulipira
cry,v,kulira
bite,v,kuluma
hear,v,kumva
understand,v,kumvetsa
drink,v,kumwa
deceive,v,kunama
see,v,kuona
fear,v,kuopa
make,v,kupanga
give,v,kupatsa
find,v,kupeza
kill,v,kupha
cook,v,kuphika
learn,v,kuphunzira
go,v,kupita
play,v,kusewera
tall,v,kutalika
take,v,kutenga
run,v,kuthamanga
open,v,kutsegula
read,v,kuwerenga
white,v,kuyera
cold,v,kuzizira
